Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",27-11-2025 18:00,17.417094,78.457437,CO,22,48,26
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",27-11-2025 18:00,17.349694,78.451437,PM10,128,158,149
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",27-11-2025 18:00,17.349694,78.451437,CO,4,108,95
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",27-11-2025 18:00,17.585705,78.126199,OZONE,18,28,23
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",27-11-2025 18:00,17.393559,78.339194,PM10,75,132,108
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",27-11-2025 18:00,17.429398,78.569354,PM10,82,114,90
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",27-11-2025 18:00,17.429398,78.569354,NH3,4,5,4
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",27-11-2025 18:00,17.429398,78.569354,SO2,12,15,13
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",27-11-2025 18:00,17.429398,78.569354,CO,28,48,39
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",27-11-2025 18:00,17.540891,78.358528,PM10,NA,NA,NA
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",27-11-2025 18:00,17.540891,78.358528,SO2,4,12,7
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",27-11-2025 18:00,17.460103,78.334361,PM2.5,NA,NA,NA
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",27-11-2025 18:00,17.460103,78.334361,CO,30,60,37
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",27-11-2025 18:00,17.470431,78.566959,PM10,58,89,68
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",27-11-2025 18:00,17.470431,78.566959,NH3,5,5,5
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",27-11-2025 18:00,8.816428,78.099039,OZONE,25,36,30
